district,state,primary_language,query_name,starter_query_en
Anantapur,Andhra Pradesh,te,Anantapur,"""Anantapur"" road accident"
Chittoor,Andhra Pradesh,te,Chittoor,"""Chittoor"" road accident"
East Godavari,Andhra Pradesh,te,East Godavari,"""East Godavari"" road accident"
Guntur,Andhra Pradesh,te,Guntur,"""Guntur"" road accident"
Krishna,Andhra Pradesh,te,Krishna,"""Krishna"" road accident"
Kurnool,Andhra Pradesh,te,Kurnool,"""Kurnool"" road accident"
Nellore,Andhra Pradesh,te,Nellore,"""Nellore"" road accident"
Prakasam,Andhra Pradesh,te,Prakasam,"""Prakasam"" road accident"
Srikakulam,Andhra Pradesh,te,Srikakulam,"""Srikakulam"" road accident"
Visakhapatnam,Andhra Pradesh,te,Visakhapatnam,"""Visakhapatnam"" road accident"
Vizianagaram,Andhra Pradesh,te,Vizianagaram,"""Vizianagaram"" road accident"
West Godavari,Andhra Pradesh,te,West Godavari,"""West Godavari"" road accident"
YSR Kadapa,Andhra Pradesh,te,YSR Kadapa,"""YSR Kadapa"" road accident"
Tawang,Arunachal Pradesh,en,Tawang,"""Tawang"" road accident"
West Kameng,Arunachal Pradesh,en,West Kameng,"""West Kameng"" road accident"
East Kameng,Arunachal Pradesh,en,East Kameng,"""East Kameng"" road accident"
Papum Pare,Arunachal Pradesh,en,Papum Pare,"""Papum Pare"" road accident"
Kurung Kumey,Arunachal Pradesh,en,Kurung Kumey,"""Kurung Kumey"" road accident"
Kra Daadi,Arunachal Pradesh,en,Kra Daadi,"""Kra Daadi"" road accident"
Lower Subansiri,Arunachal Pradesh,en,Lower Subansiri,"""Lower Subansiri"" road accident"
Upper Subansiri,Arunachal Pradesh,en,Upper Subansiri,"""Upper Subansiri"" road accident"
West Siang,Arunachal Pradesh,en,West Siang,"""West Siang"" road accident"
East Siang,Arunachal Pradesh,en,East Siang,"""East Siang"" road accident"
Siang,Arunachal Pradesh,en,Siang,"""Siang"" road accident"
Upper Siang,Arunachal Pradesh,en,Upper Siang,"""Upper Siang"" road accident"
Lower Siang,Arunachal Pradesh,en,Lower Siang,"""Lower Siang"" road accident"
Lower Dibang Valley,Arunachal Pradesh,en,Lower Dibang Valley,"""Lower Dibang Valley"" road accident"
Dibang Valley,Arunachal Pradesh,en,Dibang Valley,"""Dibang Valley"" road accident"
Anjaw,Arunachal Pradesh,en,Anjaw,"""Anjaw"" road accident"
Lohit,Arunachal Pradesh,en,Lohit,"""Lohit"" road accident"
Namsai,Arunachal Pradesh,en,Namsai,"""Namsai"" road accident"
Changlang,Arunachal Pradesh,en,Changlang,"""Changlang"" road accident"
Tirap,Arunachal Pradesh,en,Tirap,"""Tirap"" road accident"
Longding,Arunachal Pradesh,en,Longding,"""Longding"" road accident"
Baksa,Assam,as,Baksa,"""Baksa"" road accident"
Barpeta,Assam,as,Barpeta,"""Barpeta"" road accident"
Biswanath,Assam,as,Biswanath,"""Biswanath"" road accident"
Bongaigaon,Assam,as,Bongaigaon,"""Bongaigaon"" road accident"
Cachar,Assam,as,Cachar,"""Cachar"" road accident"
Charaideo,Assam,as,Charaideo,"""Charaideo"" road accident"
Chirang,Assam,as,Chirang,"""Chirang"" road accident"
Darrang,Assam,as,Darrang,"""Darrang"" road accident"
Dhemaji,Assam,as,Dhemaji,"""Dhemaji"" road accident"
Dhubri,Assam,as,Dhubri,"""Dhubri"" road accident"
Dibrugarh,Assam,as,Dibrugarh,"""Dibrugarh"" road accident"
Goalpara,Assam,as,Goalpara,"""Goalpara"" road accident"
Golaghat,Assam,as,Golaghat,"""Golaghat"" road accident"
Hailakandi,Assam,as,Hailakandi,"""Hailakandi"" road accident"
Hojai,Assam,as,Hojai,"""Hojai"" road accident"
Jorhat,Assam,as,Jorhat,"""Jorhat"" road accident"
Kamrup Metropolitan,Assam,as,Kamrup Metropolitan,"""Kamrup Metropolitan"" road accident"
